"","Form","Freq","lemma","POS","base","logtoken","nountype"
"339","stranieri",57439,"straniero","NOUN-M:p","stranier_",10.958,"animate"
"340","straniero",46450,"straniero","NOUN-M:s","stranier_",10.746,"animate"
"341","valletta",1051,"valletta","NOUN-F:s","vallett_",6.957,"animate"
"342","vallette",537,"valletta","NOUN-F:p","vallett_",6.286,"animate"
"343","valletti",217,"valletto","NOUN-M:p","vallett_",5.38,"animate"
"344","valletto",357,"valletto","NOUN-M:s","vallett_",5.878,"animate"
"345","vecchi",92,"vecchio","NOUN-M:p","vecchi_",4.522,"animate"
"346","vecchia",8362,"vecchia","NOUN-F:s","vecchi_",9.031,"animate"
"347","vecchie",296,"vecchia","NOUN-F:p","vecchi_",5.69,"animate"
"348","vecchietta",1746,"vecchietta","NOUN-F:s","vecchiett_",7.465,"animate"
"349","vecchiette",765,"vecchietta","NOUN-F:p","vecchiett_",6.64,"animate"
"350","vecchietti",1576,"vecchietto","NOUN-M:p","vecchiett_",7.363,"animate"
"351","vecchietto",2512,"vecchietto","NOUN-M:s","vecchiett_",7.829,"animate"
"352","vecchio",12500,"vecchio","NOUN-M:s","vecchi_",9.433,"animate"
"353","vedova",6611,"vedova","NOUN-F:s","vedov_",8.796,"animate"
"354","vedove",2151,"vedova","NOUN-F:p","vedov_",7.674,"animate"
